tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,unclear_field,unclear_flags
4341,NA,ABLA,7.6,7.7,H,12.3,-,0.1,T,2,I,A,S,"BW, sap",-,100,100,-,Y,-,,,comment,comment text unclear - possibly about DBH/tag placement relative to a burl and a nail
4342,NA,ABLA,5.2,-,T,7.5,-,0,T,1,S,A,S,"burl, 10% brown BW",-,90,90,-,Y,-,,,,
4343,NA,PIEN,23.2,23.6,H,52.8,-,0,T,3,I,A,S,,-,70,70,-,N,-,2 leaders,,,
4344,NA,ABLA,4.2,4.5,H,7.0,6.7,0,T,1,S,A,S,BW 5% red,-,100,90,-,Y,1,,,,
4345,NA,ABLA,2.2,-,T,2.7,2.4,0,C,2,S,A,L,BW 5% brown,-,100,60,20,Y,-,bent at base,,,
4346,NA,ABLA,3.0,-,T,3.1,3.6,0,C,1,S,A,S,BW,-,100,90,-,Y,1,,,,
4347,NA,PIEN,22.6,22.3,H,33.7,-,-0.4,T,4,C,A,S,,-,90,90,-,N,-,DBH is 0.9m due to contact with 4348,,,
4348,NA,ABLA,13.2,11.8,H,11.9,-,-0.3,T,1,I,A,S,,-,70,70,-,N,1,DBH is 0.98m due to contact with 4347; bend at base,,dbh_hom,DBH_HOM read as -0.3; could be -0.03 or similar
4349,NA,ABLA,4.3,-,T,6.9,6.8,0,C,1,S,A,S,10% brown BW,-,100,100,-,Y,2,,,,
4350,NA,ABLA,6.7,7.0,H,10.4,-,0,T,2,S,A,S,BW 10% red,-,90,90,-,Y,2,slight bend at base,,,
4351,NA,PIEN,2.1,-,J,2.9,2.6,0,C,1,S,A,S,BW,-,100,90,-,Y,2,,,,
4352,NA,PIEN,2.9,-,T,6.9,-,-0.2,-,2,S,A,S,BW,-,90,90,-,Y,-,bend at base; nail @ 1.1m,,,
4353,NA,PIEN,3.7,-,T,4.7,4.4,0,-,2,S,A,L,BW,-,100,90,10,Y,-,,,,
4354,NA,PIEN,6.1,-,T,8.9,-,0,T,2,S,A,S,BW,-,100,90,-,Y,-,,,,
4355,NA,ABLA,9.6,9.7,H,10.0,-,0,T,2,I,A,S,BW sappy,-,90,90,-,Y,-,measured at nail; nail @ 1.3,,,
4356,NA,PIEN,22.6,22.8,H,34.2,-,0,T,4,C,A,S,BW,-,90,80,-,Y,-,,,,
4357,NA,ABLA,8.1,7.7,H,11.0,-,0,T,1,I,A,S,BW,-,100,80,-,Y,-,,,,
4358,NA,ABLA,5.0,-,T,7.7,-,0,T,2,S,A,S,BW,-,90,90,-,Y,-,,,,
4359,NA,ABLA,15.2,15.3,H,20.4,-,0,T,3,I,A,S,BW,-,100,90,-,Y,-,,,,
4360,NA,ABLA,1.7,-,T,1.5,1.5,0,C,1,S,A,L,,-,80,90,45,N,-,,,,
4361,NA,ABLA,3.3,-,T,4.2,3.9,0,C,2,S,A,S,BW,-,100,90,-,Y,-,,,,
4362,NA,PIEN,1.8,-,T,2.1,2.1,0,C,2,S,A,L,BW,-,100,90,10,Y,-,,,,
4363,NA,PIEN,2.5,-,T,4.4,4.6,0,C,2,S,A,L,,-,80,100,10,N,-,bend at bottom,,,
4364,NA,ABLA,2.1,-,T,2.3,2.3,0,C,1,S,A,S,10% red,1.8,80,90,-,Y,1,secondary leader - 1 dead / dead on top,,,
4365,NA,ABLA,4.0,-,T,5.2,5.8,0,C,1,S,A,S,,-,90,90,-,N,-,,,,
4366,NA,ABLA,5.6,5.7,H,9.3,-,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,,dbh_method,DBH_Method read as C but height method is H for this tree - unusual combination, confirm
4367,NA,ABLA,23.2,23.6,H,34.5,-,0,T,4,C,A,S,"sappy, 2% red",-,50,70,-,Y,-,,2026-08-07,,
4368,NA,ABLA,3.0,-,J,3.0,3.5,0,C,2,S,A,S,,-,70,90,-,N,-,,2026-08-07,,
4369,NA,PIEN,3.8,-,T,4.9,5.0,0,C,2,S,A,L,,-,100,90,10,N,N,,2026-08-07,,
4370,NA,ABLA,1.6,-,T,1.2,1.1,0,C,1,S,OK,S,,-,100,100,-,N,-,,2026-08-07,,
4371,NA,ABLA,4.2,-,T,6.1,-,0,T,1,S,A,L,10% brown,-,90,90,10,Y,-,secondary leader,2026-08-07,,
4372,NA,PIEN,7.4,7.6,H,12.9,-,0,T,2,I,A,S,sappy,-,90,100,-,N,-,,2026-08-07,,
4373,NA,PIEN,24.1,23.8,H,43.5,-,0,T,4,C,A,S,sappy,-,100,90,-,N,-,,2026-08-07,,
4374,NA,PIEN,17.4,,,NA,,,,,,Dead,S,,,,,,,,,2026-08-07,,
4375,NA,ABLA,4.7,-,T,8.8,-,0,T,1,S,A,L,"sappy burl, sappy",-,100,90,10,N,-,,2026-08-07,,
4376,NA,ABLA,11.6,12.1,H,12.8,-,0,T,2,I,A,S,10% red,-,100,90,-,Y,-,prior height likely off,2026-08-07,,
4377,NA,ABLA,3.6,-,T,2.6,2.8,0,C,2,S,A,S,10% red BW,-,100,80,-,Y,-,,2026-08-07,,
4378,NA,ABLA,3.9,-,T,5.6,5.1,0,C,1,S,A,S,10% red,-,70,80,-,Y,2,,2026-08-07,,
4379,NA,ABLA,6.0,-,T,7.9,-,0,T,1,S,A,S,10% red,-,100,90,-,Y,-,,2026-08-07,,
4380,NA,ABLA,2.3,-,T,2.2,2.0,0,C,2,S,A,L,BW,-,90,90,30,Y,-,curvy,2026-08-07,,
4381,NA,ABLA,12.1,11.7,H,14.1,-,0,T,1,I,A,S,10% red,-,100,90,-,Y,-,,2026-08-07,,
4382,NA,PIEN,24.8,25.3,H,43.2,-,0,T,4,C,A,S,,-,70,80,-,N,-,2 leaders,2026-08-07,,
4383,NA,ABLA,1.6,-,T,1.2,1.3,0,C,1,S,A,S,BW 10% red,-,100,90,-,Y,-,,2026-08-07,,
4384,NA,PIEN,1.7,-,T,1.6,1.7,0,C,1,S,A,S,,1.6,80,90,-,N,-,top dead,2026-08-07,,
4385,NA,ABLA,2.3,-,T,2.4,2.4,0,C,1,S,A,S,10% brown,-,100,90,-,Y,-,,2026-08-07,,
4386,NA,ABLA,5.6,5.8,H,6.0,5.7,0,C,1,S,A,S,10% yellow,-,100,90,-,Y,-,,2026-08-07,,
4387,NA,ABLA,6.9,-,T,9.8,-,0,T,3,I,A,S,"10% brown, sappy",-,100,90,-,Y,-,,2026-08-07,,
4388,NA,ABLA,12.0,12.2,H,15.0,-,0,T,3,I,A,S,sappy BW,-,100,90,-,Y,2,,2026-08-07,,
4389,NA,ABLA,4.8,-,J,6.6,6.9,0,C,1,S,A,S,10% red,-,100,90,-,Y,2,checked dbh; prior too big,2026-08-07,,
4390,NA,ABLA,4.3,-,J,5.4,5.9,0,C,1,S,A,S,,-,100,90,-,N,-,,2026-08-07,,
4391,NA,PIEN,0,-,-,2.1,1.9,0,C,1,S,D,L,,-,0,0,90,-,1,leans North; uprooted,2026-08-07,,
4392,NA,ABLA,3.4,-,T,5.2,5.4,0,C,1,S,A,S,10% red,-,90,90,-,Y,-,,2026-08-07,,
4393,NA,PIEN,4.2,-,T,6.9,-,0,T,1,S,A,S,sappy BW,-,80,90,-,Y,-,,2026-08-07,,
4394,NA,PIEN,14.5,14.1,H,19.5,-,0,T,3,I,A,S,,-,90,90,-,N,-,,2026-08-07,,
4395,NA,ABLA,7.8,7.4,H,10.7,-,0,T,1,I,A,S,BW,-,80,90,-,Y,-,,2026-08-07,,
4396,NA,ABLA,2.8,-,T,4.0,3.7,0,C,1,S,A,S,10% red,2.7,90,90,-,Y,2,dead at top,2026-08-07,,
4397,NA,ABLA,2.7,-,T,3.4,3.6,0,C,1,S,A,L,20% red,-,80,80,45,Y,1,,2026-08-07,,
4398,NA,PIEN,2.6,-,T,3.5,3.4,0,C,1,S,A,L,,-,90,80,10,N,-,,2026-08-07,,
4399,NA,PIEN,12.2,12.5,H,13.1,-,0,T,3,I,A,S,sappy,-,90,90,-,N,-,,2026-08-07,,
4400,NA,PIEN,0,-,T,3.3,3.5,0,C,1,S,D,U,,-,0,0,45,-,1,"uprooted, no height above ground",2026-08-07,,
4401,NA,ABLA,17.2,17.4,H,24.5,-,0,T,4,C,A,S,sappy,-,90,90,-,N,-,,2026-08-07,,
4402,NA,ABLA,1.8,-,T,1.6,1.6,0,C,1,S,A,S,sappy BW,-,100,90,-,Y,-,,2026-08-07,,
4403,NA,ABLA,2.2,-,T,2.0,2.0,0,C,1,S,A,S,10% yellow,-,100,90,-,Y,-,,2026-08-07,,
4404,NA,ABLA,1.9,-,T,2.2,2.4,0,C,1,S,A,S,BW,-,100,90,-,Y,-,curvy,2026-08-07,,
4405,NA,ABLA,1.6,-,T,1.7,1.5,0,C,1,S,A,S,BW,-,100,90,-,Y,-,shares base with 4408,2026-08-07,,
4406,NA,ABLA,15.0,15.1,H,15.8,-,0,T,3,I,A,S,10% red,-,100,90,-,Y,-,,2026-08-07,,
4407,NA,PIEN,22.9,,,NA,,,,,,Dead,S,,,,,,,,,2026-08-07,,
4408,NA,ABLA,6.0,-,T,7.0,5.7,0,T,2,S,A,S,BW,-,100,90,-,Y,-,,2026-08-07,,
4409,NA,ABLA,2.7,-,T,2.8,3.0,0,C,2,S,A,L,BW,-,90,80,30,Y,1,shares base with 4410,2026-08-07,,
4410,NA,ABLA,2.1,-,T,3.6,3.6,0,C,1,S,A,L,10% red,-,60,90,10,Y,2,shares base with 4409,2026-08-07,,
4411,NA,ABLA,11.7,12.1,H,12.1,-,0,T,3,I,A,S,BW,9.9,90,90,-,Y,-,dead @ top; shares base with 4410,2026-08-07,living_length,"two living-length values shown (9.9 and 10.4), used first"
4412,NA,ABLA,2.3,-,T,4.5,4.7,0,C,1,S,A,L,BW,2.0,50,90,10,Y,-,dead at top,2026-08-07,,
4413,NA,ABLA,16.0,16.2,H,18.6,-,0,T,4,I,A,S,sappy,-,100,100,-,N,1,,2026-08-07,,
4414,NA,ABLA,15.9,16.3,H,17.5,-,0,T,4,I,A,S,sappy,-,100,100,-,N,-,,2026-08-07,,
4415,NA,ABLA,13.1,13.3,H,19.5,-,0,T,4,I,A,S,sappy,-,100,100,-,N,-,height estimated from 4414,2026-08-07,,
4416,NA,ABLA,2.0,-,T,2.0,1.9,0,C,1,S,A,S,10% red,-,90,80,-,Y,-,,2026-08-07,,
4417,NA,ABLA,1.7,-,T,2.8,3.0,0,C,1,S,A,L,,1.6,70,70,10,N,-,top dead,2026-08-07,,
4418,NA,ABLA,12.6,12.3,H,18.2,-,0,T,3,I,A,S,10% red,-,100,90,-,Y,1,,2026-08-07,,
4419,NA,ABLA,2.1,-,J,3.3,2.8,0,C,1,S,A,L,BW,-,90,80,45,Y,2,shares base with 4420,2026-08-07,,
4420,NA,ABLA,1.8,-,T,2.0,2.3,0,C,1,S,A,L,BW,1.7,50,90,30,Y,2,dead at top; shares base with 4419,2026-08-07,,
4421,NA,PIEN,1.7,-,T,2.1,2.1,0,C,1,S,A,S,,1.4,60,100,-,N,-,top dead,2026-08-07,,
4422,NA,ABLA,2.0,-,T,2.9,3.1,0,C,1,S,A,S,BW,-,100,90,-,Y,2,,2026-08-07,,
4423,NA,ABLA,2.1,-,T,2.0,2.0,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-07,,
4424,NA,ABLA,3.1,-,T,3.3,3.5,0,C,1,S,A,S,10% red BW,-,100,80,-,Y,-,,2026-08-07,,
4425,NA,PIEN,3.1,-,T,7.3,-,0,T,1,S,A,S,2% red,2.7,50,70,-,N,-,dead at top; shares base with 4426; bend at base,2026-08-07,,
4426,NA,PIEN,5.3,5.5,H,7.8,-,0,T,2,S,A,S,,-,90,80,-,N,-,shares base with 4425,2026-08-07,,
4427,NA,PIEN,1.8,-,T,2.4,3.4,0,C,1,S,A,L,,-,80,100,10,N,-,2 leaders; 1 dead,2026-08-07,,
4428,NA,PIEN,2.6,-,T,5.9,6.1,0,C,2,S,A,L,sappy,-,60,100,45,N,2,bent over,2026-08-07,,
4429,NA,ABLA,13.0,13.2,H,13.1,-,0,T,3,I,A,S,10% brown,-,100,90,-,Y,2,DBH at tag (DBH at 1.2),2026-08-07,,
4430,NA,PIEN,3.4,-,T,5.8,-,0,T,1,S,A,S,BW,-,100,90,-,Y,2,,2026-08-07,,
4431,NA,PIEN,3.6,3.3,T,9.3,-,0,T,1,S,A,L,dead crown,-,50,70,30,N,-,2 leaders; one dead,2026-08-07,,
4432,NA,ABLA,1.9,-,T,1.4,1.3,0,C,1,S,A,S,10% red,-,100,90,-,Y,-,,2026-08-07,,
4433,NA,PIEN,2.6,-,T,5.0,4.6,0,C,1,S,A,S,BW,-,100,80,-,Y,2,"curvy; 2 leaders, 1 dead",2026-08-07,,
4434,NA,ABLA,17.5,17.6,H,27.8,-,0,T,4,C,A,S,10% brown,-,60,70,-,Y,2,,2026-08-07,,
4435,NA,PIEN,1.6,-,T,1.7,1.8,0,C,1,S,A,L,10% red,-,80,90,5,Y,1,,2026-08-07,,
4436,NA,PIEN,10.3,10.4,H,13.8,-,0,T,4,I,A,S,,-,80,90,-,Y,-,,2026-08-07,,
4437,NA,PIEN,3.1,-,T,7.1,-,0,T,1,S,A,L,BW,-,90,90,10,Y,-,bend at base; leader dead,2026-08-07,,
4438,NA,PIEN,1.7,-,T,2.4,2.4,0,C,1,S,A,S,10% yellow,-,100,90,-,Y,-,dead leader; crown on one side,2026-08-07,,
4439,NA,ABLA,2.1,-,T,3.0,3.1,0,C,1,S,A,S,BW,1.9,70,90,-,Y,-,curved at base; sappy,2026-08-07,,
4440,NA,ABLA,4.3,-,T,5.6,-,0,T,1,S,A,S,"BW, 10% yellow",-,100,90,-,Y,-,,2026-08-07,,
4441,NA,PIEN,3.0,-,T,4.5,4.5,0,C,1,S,A,L,10% yellow,-,80,90,15,Y,1,leans North,2026-08-07,,
4442,NA,ABLA,20.0,19.8,H,21.4,-,0,T,4,C,A,C,5% red,-,60,70,0,Y,-,shares base with 4443; cracked bark,2026-08-07,,
4443,NA,PIEN,9.5,9.8,H,14.1,-,0,T,2,S,A,S,,-,90,80,0,Y,1,shares base with 4442,2026-08-07,,
4444,NA,PIEN,2.9,-,T,2.6,2.6,0,C,1,S,A,S,BW,-,100,100,0,Y,-,,2026-08-07,,
4445,NA,ABLA,2.0,-,T,1.7,1.5,0,C,1,S,A,L,,-,80,90,5,N,2,secondary leader,2026-08-07,,
4446,NA,ABLA,9.4,9.4,H,12.6,-,0,T,3,I,A,S,10% brown,-,100,90,-,Y,1,,2026-08-07,,
4447,NA,ABLA,6.3,6.6,H,9.8,-,0,T,1,I,A,S,3% red brown,-,70,80,-,Y,1,,2026-08-07,,
4448,NA,ABLA,12.2,12.4,H,16.8,-,0,T,3,I,A,S,"BW, 2% red",-,80,90,-,Y,1,,2026-08-07,,
4449,NA,ABLA,1.5,-,T,1.0,1.0,0,T,1,S,A,L,BW,-,90,100,5,Y,-,,2026-08-07,,
4450,NA,ABLA,2.5,-,T,3.5,3.5,0,C,1,S,A,S,"BW, 20% red",-,90,90,-,Y,2,,2026-08-07,,
4451,NA,PIEN,5.2,5.6,H,6.0,-,0,T,2,S,A,S,"BW, 10% red",-,100,90,-,Y,-,,2026-08-07,,
4452,NA,ABLA,8.5,8.2,H,10.6,-,0,T,2,I,A,S,BW,-,70,80,-,Y,1,,2026-08-07,,
4453,NA,ABLA,1.7,-,H,1.3,1.2,0,C,1,S,A,L,10% yellow,-,90,90,10,Y,-,curvy,2026-08-07,,
4454,NA,PIEN,6.8,7.2,H,9.1,-,0,T,2,I,A,S,BW,-,90,90,-,Y,-,sappy; bend at base,2026-08-07,,
4455,NA,PIEN,2.3,-,T,2.6,2.7,0,C,1,S,A,S,10% red,-,80,90,-,Y,-,,2026-08-07,,
4456,NA,ABLA,20.4,20.1,H,25.8,-,0,T,4,C,A,S,BW,-,80,90,-,Y,2,,2026-08-07,,
4457,NA,ABLA,1.9,-,T,2.8,2.9,0,C,1,S,A,L,10% red,-,90,90,45,Y,1,leans Northeast; branch is highest point,2026-08-07,,
4458,NA,ABLA,7.7,7.7,H,11.5,-,0,T,2,I,A,S,BW,-,100,90,-,Y,-,,2026-08-07,,
4459,NA,ABLA,2.0,-,T,3.4,3.2,0,C,1,S,A,S,"BW, 10% red",-,100,90,-,Y,-,crown on one side,2026-08-07,,
4460,NA,ABLA,2.7,-,T,5.2,5.7,0,C,1,S,A,L,,2.3,60,90,30,N,1,leans South; dead at top,2026-08-07,,
4461,NA,ABLA,11.3,11.4,H,13.4,-,0,T,3,I,A,S,2% red,-,90,90,-,Y,1,,2026-08-07,,
4462,NA,ABLA,1.9,2.3,T,2.0,1.8,0,C,1,S,A,L,BW,-,100,90,45,Y,1,past DBH wrong,2026-08-07,,
4463,NA,ABLA,3.0,-,T,4.0,3.7,0,C,1,S,A,S,,-,90,90,-,N,2,shares base with 4464; sappy,2026-08-07,,
4464,NA,ABLA,1.5,-,T,1.9,2.1,0,C,1,S,A,S,5% red,-,60,90,-,Y,2,"shares base with 4463; 2 leaders, dead top",2026-08-07,,
4465,NA,ABLA,2.9,-,T,4.5,4.1,0,C,1,S,A,S,,-,80,100,-,N,-,,2026-08-07,,
4466,NA,ABLA,7.5,7.2,H,11.9,-,0,T,3,I,A,S,BW,-,80,80,-,Y,-,,2026-08-07,,
4467,NA,PIEN,,,,NA,,,,,,Dead,S,,,,,,,,,2026-08-07,,
4468,NA,ABLA,5.3,-,T,10.3,-,0,C,2,S,A,S,,-,90,90,-,N,-,,2026-08-07,,
4469,NA,PIEN,2.4,-,T,3.5,3.4,0,C,1,S,A,S,,-,70,70,-,N,-,cracks,2026-08-07,,
4470,NA,PIEN,2.3,-,T,2.8,3.1,0,C,1,S,A,S,,-,90,80,-,N,-,,2026-08-07,,
4471,NA,ABLA,3.2,-,T,4.5,4.5,0,C,1,S,A,S,3% red,-,60,70,-,N,-,,2026-08-07,,
4472,NA,ABLA,2.3,-,T,3.2,3.8,0,C,1,S,A,S,2% red,-,80,80,-,Y,2,,2026-08-07,,
4473,NA,ABLA,2.2,-,T,2.8,3.0,0,C,1,S,A,L,90% brown BW,-,70,90,20,Y,1,leans North; bend @ base,2026-08-07,,
4474,NA,PIEN,3.0,-,T,4.1,4.5,0,C,2,S,OK,S,,-,100,100,-,N,-,bend @ base,2026-08-07,,
4475,NA,PIEN,1.7,-,T,1.6,1.5,0,C,1,S,OK,S,,-,100,100,-,N,-,,2026-08-07,,
4476,NA,PIEN,1.6,-,T,1.3,1.4,0,C,1,S,OK,S,,-,100,100,-,N,-,,2026-08-07,,
4477,NA,ABLA,2.9,-,T,1.8,1.7,0,C,1,S,A,L,20% red,-,100,100,40,N,-,,2026-08-07,,
4478,NA,ABLA,1.8,-,T,1.4,1.5,0,C,2,S,A,S,"BW, 20% yellow",-,100,90,0,Y,-,3 leaders,2026-08-07,,
4479,NA,ABLA,8.0,7.6,H,10.9,-,0,T,3,I,A,S,BW,-,90,90,-,Y,-,,2026-08-07,,
4480,NA,ABLA,5.0,-,T,6.9,6.3,0,C,1,S,A,L,BW,-,100,90,10,Y,-,leans Northeast,2026-08-07,,
4481,NA,ABLA,4.3,-,T,6.0,5.1,0,C,1,S,A,S,BW,-,90,90,-,Y,-,,2026-08-07,,
4482,NA,ABLA,2.2,-,T,2.6,2.7,0,C,1,S,A,S,"BW, sap",-,100,90,-,Y,1,,2026-08-07,,
4483,NA,ABLA,3.7,-,T,5.3,5.1,0,C,2,S,A,S,10% red,-,100,90,-,Y,-,,2026-08-07,,
4484,NA,ABLA,6.9,-,T,8.5,-,0,T,2,I,A,S,BW,-,100,90,-,Y,1,,2026-08-07,,
4485,NA,ABLA,5.3,-,T,5.9,5.4,0,C,1,S,A,S,"BW, 10% red",-,90,90,-,Y,-,,2026-08-07,,
4486,NA,ABLA,4.6,-,T,5.7,5.4,0,C,1,S,A,S,,-,100,90,-,N,-,,2026-08-07,,
4487,NA,ABLA,7.7,7.4,H,11.1,-,0,T,2,S,A,S,BW,-,100,80,-,Y,-,,2026-08-07,,
4488,NA,ABLA,18.8,18.6,H,35.2,-,0,T,4,C,A,S,"sappy, 10% red",-,60,60,-,Y,-,,2026-08-07,,
4489,NA,ABLA,2.6,-,T,3.6,3.5,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-07,,
4490,NA,ABLA,2.2,-,T,2.5,2.6,0,C,1,S,A,S,"BW, 10% yellow",-,100,90,-,Y,-,,2026-08-07,,
4491,NA,ABLA,1.9,-,T,2.0,2.1,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-07,,
4492,NA,ABLA,4.7,4.5,T,4.9,5.0,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,2026-08-07,,
4493,NA,PIEN,1.5,-,T,1.3,1.4,0,C,1,S,A,S,,-,90,80,-,Y,2,top broken,2026-08-07,,
4494,NA,PICO,14.3,14.6,H,28.1,-,0,T,3,I,A,S,10% red,-,80,90,-,Y,-,,2026-08-07,,
4495,NA,ABLA,13.1,13.3,H,13.9,-,0,T,3,I,A,S,BW,-,100,90,-,N,-,shares base with 4496,2026-08-07,,
4496,NA,ABLA,13.4,13.7,H,12.7,-,0,T,3,I,A,S,,-,100,90,-,Y,-,top dead,2026-08-07,,
4497,NA,ABLA,1.5,-,T,1.3,1.4,0,C,1,S,A,S,"10% yellow",-,100,90,-,Y,-,,2026-08-07,,
4498,NA,ABLA,1.7,-,T,1.7,1.5,0,C,1,S,A,S,"BW, 10% red",-,100,90,-,Y,-,,2026-08-07,,
4499,NA,ABLA,1.5,-,T,1.7,1.5,0,C,1,S,A,S,10% red,-,90,90,-,Y,-,,2026-08-07,,
4500,NA,ABLA,2.6,-,T,4.2,4.4,0,C,1,S,A,S,"10% yellow, BW",-,90,90,-,Y,-,,2026-08-07,,
4501,NA,ABLA,7.9,7.6,H,8.2,-,0,T,2,I,A,S,10% red,-,100,90,-,Y,-,secondary leader; new tag 1301; collar replaced w/ nail,2026-08-07,,
4502,NA,PIEN,13.3,13.5,H,20.9,-,0,T,4,I,A,S,,-,90,90,-,Y,-,bend in trunk halfway up,2026-08-07,,
